memory.total [MiB], memory.used [MiB], utilization.gpu [%], name, pci.bus_id
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 67 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 42 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 55 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 59 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 59 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 40 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 45 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 51 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
